Title,URL,Description,Regulation Number,Sector,Sub Sector,Regulation Type,Year,status
POJK tentang Pembentukan dan Pedoman Penyusunan Piagam Unit Audit Internal,/id/regulasi/Pages/POJK-tentang-Pembentukan-dan-Pedoman-Penyusunan-Piagam-Unit-Audit-Internal.aspx,POJK tentang Pembentukan dan Pedoman Penyusunan Piagam Unit Audit Internal,56 /POJK.04/2015,Pasar Modal,Lembaga Kliring dan Penjaminan,Peraturan OJK,2015,Success
POJK tentang Pembentukan dan Pedoman Pelaksana Kerja Komite Audit,/id/regulasi/Pages/POJK-tentang-Pembentukan-dan-Pedoman-Pelaksana-Kerja-Komite-Audit.aspx,POJK tentang Pembentukan dan Pedoman Pelaksanaan Kerja Komite Audit,55 /POJK.04/2015,Pasar Modal,Lembaga Kliring dan Penjaminan,Peraturan OJK,2015,Success
POJK tentang Penawaran Tender Sukarela,/id/regulasi/Pages/POJK-tentang-Penawaran-Tender-Sukarela.aspx,POJK tentang Penawaran Tender Sukarela,54 /POJK.04/2015,Pasar Modal,"Bursa Efek, Perusahaan Efek, Wakil Perusahaan Efek, Peraturan Lainnya",Peraturan OJK,2015,Success
POJK tentang Akad yang Digunakan dalam Penerbitan Efek Syariah di Pasar Modal,/id/regulasi/Pages/POJK-tentang-Akad-yang-Digunakan-dalam-Penerbitan-Efek-Syariah-di-Pasar-Modal.aspx,POJK tentang Akad yang Digunakan dalam Penerbitan Efek Syariah di Pasar Modal,53 /POJK.04/2015,Pasar Modal,"Pasar Modal Syariah, Peraturan Lainnya",Peraturan OJK,2015,Success
POJK tentang Pedoman Perjanjian Pemeringkatan,/id/regulasi/Pages/POJK-tentang-Pedoman-Perjanjian-Pemeringkatan.aspx,POJK tentang Pedoman Perjanjian Pemeringkatan,52 /POJK.04/2015,Pasar Modal,"Bursa Efek, Perusahaan Efek, Wakil Perusahaan Efek, Peraturan Lainnya",Peraturan OJK,2015,Success
POJK tentang Perilaku Perusahaan Pemeringkat Efek,/id/regulasi/Pages/POJK-tentang-Perilaku-Perusahaan-Pemeringkat-Efek.aspx,POJK tentang Perilaku Perusahaan Pemeringkat Efek,51 /POJK.04/2015,Pasar Modal,"Bursa Efek, Perusahaan Efek, Wakil Perusahaan Efek, Peraturan Lainnya",Peraturan OJK,2015,Success
POJK tentang Perizinan Wakil Agen Penjual Efek Reksa Dana,/id/regulasi/Pages/POJK-tentang-Perizinan-Wakil-Agen-Penjual-Efek-Reksa-Dana.aspx,POJK tentang Perizinan Wakil Agen Penjual Efek Reksa Dana,50 /POJK.04/2015,Pasar Modal,"Bank Umum, Reksa Dana, Agen Penjual Reksadana",Peraturan OJK,2015,Success
POJK tentang Reksa Dana Berbentuk Kontrak Investasi Kolektif yang Unit Penyertaannya Diperdagangkan di Bursa Efek,/id/regulasi/Pages/POJK-tentang-Reksa-Dana-Berbentuk-Kontrak-Investasi-Kolektif-yang-Unit-Penyertaannya-Diperdagangkan-di-Bursa-Efek.aspx,POJK tentang Reksa Dana Berbentuk Kontrak Investasi Kolektif yang Unit Penyertaannya Diperdagangkan di Bursa Efek,49 /POJK.04/2015,Pasar Modal,"Bursa Efek, Reksa Dana",Peraturan OJK,2015,Success
"POJK tentang Pedoman Pengelolaan Reksa Dana Terproteksi, Reksa Dana dengan Penjaminan, dan Reksa Dana Indeks","/id/regulasi/Pages/POJK-tentang-Pedoman-Pengelolaan-Reksa-Dana-Terproteksi,-Reksa-Dana-dengan-Penjaminan,-dan-Reksa-Dana-Indeks.aspx","POJK tentang Pedoman Pengelolaan Reksa Dana Terproteksi, Reksa Dana dengan Penjaminan, dan Reksa Dana Indeks",48 /POJK.04/2015,Pasar Modal,Reksa Dana,Peraturan OJK,2015,Success
POJK tentang Pedoman Pengumuman Harian Nilai Aktiva Bersih Reksa Dana Terbuka,/id/regulasi/Pages/POJK-tentang-Pedoman-Pengumuman-Harian-Nilai-Aktiva-Bersih-Reksa-Dana-Terbuka.aspx,POJK tentang Pedoman Pengumuman Harian Nilai Aktiva Bersih Reksa Dana Terbuka,47 /POJK.04/2015,Pasar Modal,Reksa Dana,Peraturan OJK,2015,Success
POJK tentang Sertifikasi Kompetensi Kerja bagi Anggota Direksi dan Anggota Dewan Komisaris Bank Perkreditan Rakyat dan Bank Perkreditan Rakyat Syariah,/id/regulasi/Pages/POJK-tentang-Sertifikasi-Kompetensi-Kerja-bagi-Anggota-Direksi-dan-Anggota-Dewan-Komisaris-BPR-dan-BPRS.aspx,POJK tentang Sertifikasi Kompetensi Kerja bagi Anggota Direksi dan Anggota Dewan Komisaris BPR dan BPRS,44 /POJK.03/2015,Perbankan,"BPR, Perbankan Syariah",Peraturan OJK,2015,Success
POJK tentang Penetapan Systemically Important Bank dan Capital Surcharge,/id/regulasi/Pages/POJK-tentang-Penetapan-Systemically-Important-Bank-dan-Capital-Surcharge.aspx,POJK tentang Penetapan Systemically Important Bank dan Capital Surcharge,46 /POJK.03/2015,Perbankan,Bank Umum,Peraturan OJK,2015,Success
POJK tentang Penerapan Tata Kelola dalam Pemberian Remunerasi bagi Bank Umum,/id/regulasi/Pages/POJK-tentang-Penerapan-Tata-Kelola-dalam-Pemberian-Remunerasi-bagi-Bank-Umum.aspx,POJK tentang Penerapan Tata Kelola dalam Pemberian Remunerasi bagi Bank Umum,45 /POJK.03/2015,Perbankan,Bank Umum,Peraturan OJK,2015,Success
POJK tentang Pedoman Perilaku Manajer Investasi,/id/regulasi/Pages/POJK-tentang-Pedoman-Perilaku-Manajer-Investasi.aspx,POJK tentang Pedoman Perilaku Manajer Investasi,43 /POJK.04/2015,Pasar Modal,"Lembaga Jasa Keuangan Khusus, Lembaga Keuangan Mikro, Bursa Efek, Lembaga Penyimpanan dan Penyelesaian, Reksa Dana, Perusahaan Efek, Wakil Perusahaan Efek, Penasehat Investasi",Peraturan OJK,2015,Success
POJK tentang Tata Cara Penetapan Pengelola Statuter pada Lembaga Jasa Keuangan,/id/regulasi/Pages/POJK-tentang-Tata-Cara-Penetapan-Pengelola-Statuter-pada-Lembaga-Jasa-Keuangan.aspx,POJK tentang Tata Cara Penetapan Pengelola Statuter pada Lembaga Jasa Keuangan,41/POJK.05/2015,IKNB,"IKNB Syariah, Asuransi, Dana Pensiun, Lembaga Pembiayaan, Lembaga Jasa Keuangan Khusus, Lembaga Keuangan Mikro",Peraturan OJK,2015,Success
POJK tentang Pembinaan dan Pengawasan Lembaga Pembiayaan Ekspor Indonesia,/id/regulasi/Pages/POJK-tentang-Pembinaan-dan-Pengawasan-Lembaga-Pembiayaan-Ekspor-Indonesia.aspx,POJK tentang Pembinaan dan Pengawasan Lembaga Pembiayaan Ekspor Indonesia,40/POJK.05/2015,IKNB,"IKNB Syariah, Lembaga Pembiayaan, Lembaga Jasa Keuangan Khusus, Lembaga Keuangan Mikro",Peraturan OJK,2015,Success
POJK tentang Penerapan Program Anti Pencucian Uang dan Pencegahan Pendanaan Terorisme oleh Penyedia Jasa Keuangan di Sektor Industri Keuangan Non-Bank,/id/regulasi/Pages/POJK-tentang-Penerapan-Program-Anti-Pencucian-Uang-dan-Pencegahan-Pendanaan-Terorisme-oleh-Penyedia-Jasa-Keuangan-di-IKNB.aspx,POJK tentang Penerapan Program Anti Pencucian Uang dan Pencegahan Pendanaan Terorisme oleh Penyedia Jasa Keuangan di Sektor Industri Keuangan Non-Bank,39/POJK.05/2015,IKNB,"IKNB Syariah, Asuransi, Dana Pensiun, Lembaga Pembiayaan, Lembaga Jasa Keuangan Khusus, Lembaga Keuangan Mikro",Peraturan OJK,2015,Success
"POJK tentang Pendaftaran dan Pengawasan Konsultan Aktuaria, Akuntan Publik, dan Penilai yang Melakukan Kegiatan di Industri Keuangan Non-Bank","/id/regulasi/Pages/POJK-tentang-Pendaftaran-dan-Pengawasan-Konsultan-Aktuaria,-Akuntan-Publik,-dan-Penilai-yang-Melakukan-Kegiatan-di-IKNB.aspx","POJK tentang Pendaftaran dan Pengawasan Konsultan Aktuaria, Akuntan Publik, dan Penilai yang Melakukan Kegiatan di Industri Keuangan Non-Bank",38/POJK.05/2015,IKNB,"IKNB Syariah, Asuransi, Dana Pensiun, Lembaga Pembiayaan, Lembaga Jasa Keuangan Khusus, Lembaga Keuangan Mikro",Peraturan OJK,2015,Success
POJK tentang Pemeriksaan Langsung Perusahaan Modal Ventura,/id/regulasi/Pages/POJK-tentang-Pemeriksaan-Langsung-Perusahaan-Modal-Ventura.aspx,POJK tentang Pemeriksaan Langsung Perusahaan Modal Ventura,37/POJK.05/2015,IKNB,"IKNB Syariah, Asuransi, Dana Pensiun, Lembaga Pembiayaan, Lembaga Jasa Keuangan Khusus, Lembaga Keuangan Mikro",Peraturan OJK,2015,Success
POJK tentang Tata Kelola Perusahaan yang Baik bagi Perusahaan Modal Ventura,/id/regulasi/Pages/POJK-tentang-Tata-Kelola-Perusahaan-yang-Baik-bagi-Perusahaan-Modal-Ventura.aspx,POJK tentang Tata Kelola Perusahaan yang Baik bagi Perusahaan Modal Ventura,36/POJK.05/2015,IKNB,"IKNB Syariah, Asuransi, Dana Pensiun, Lembaga Pembiayaan, Lembaga Jasa Keuangan Khusus, Lembaga Keuangan Mikro",Peraturan OJK,2015,Success
POJK tentang Penyelenggaraan Usaha Perusahaan Modal Ventura,/id/regulasi/Pages/POJK-tentang-Penyelenggaraan-Usaha-Perusahaan-Modal-Ventura.aspx,POJK tentang Penyelenggaraan Usaha Perusahaan Modal Ventura,35/POJK.05/2015,IKNB,"IKNB Syariah, Asuransi, Dana Pensiun, Lembaga Pembiayaan, Lembaga Jasa Keuangan Khusus, Lembaga Keuangan Mikro",Peraturan OJK,2015,Success
POJK tentang Perizinan Usaha dan Kelembagaan Perusahaan Modal Ventura,/id/regulasi/Pages/POJK-tentang-Perizinan-Usaha-dan-Kelembagaan-Perusahaan-Modal-Ventura.aspx,POJK tentang Perizinan Usaha dan Kelembagaan Perusahaan Modal Ventura,34/POJK.05/2015,IKNB,"IKNB Syariah, Asuransi, Dana Pensiun, Lembaga Pembiayaan, Lembaga Jasa Keuangan Khusus, Lembaga Keuangan Mikro",Peraturan OJK,2015,Success
POJK tentang Kewajiban Pemenuhan Rasio Kecukupan Likuiditas (Liquidity Coverage Ratio) bagi Bank Umum,/id/regulasi/Pages/POJK-tentang-Kewajiban-Pemenuhan-Rasio-Kecukupan-Likuiditas-(Liquidity-Coverage-Ratio)-bagi-Bank-Umum.aspx,POJK tentang Kewajiban Pemenuhan Rasio Kecukupan Likuiditas (Liquidity Coverage Ratio) bagi Bank Umum,42 /POJK.03/2015,Perbankan,Bank Umum,Peraturan OJK,2015,Success
SEOJK tentang Produk dan Aktivitas Bank Pembiayaan Rakyat Syariah,/id/regulasi/Pages/SEOJK-tentang-Produk-dan-Aktivitas-Bank-Pembiayaan-Rakyat-Syariah.aspx,SEOJK tentang Produk dan Aktivitas Bank Pembiayaan Rakyat Syariah,37/SPEOJK.03/2015,"Perbankan, Syariah","Bank Umum, BPR, Perbankan Syariah",Surat Edaran OJK,2015,Success
SEOJK tentang Produk dan Aktivitas Bank Umum Syariah dan Unit Usaha Syariah,/id/regulasi/Pages/SEOJK-tentang-Produk-dan-Aktivitas-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah.aspx,SEOJK tentang Produk dan Aktivitas Bank Umum Syariah dan Unit Usaha Syariah,36/SEOJK.03/2015,"Perbankan, Syariah","Bank Umum, BPR, Perbankan Syariah",Surat Edaran OJK,2015,Success
POJK tentang Bentuk dan Isi Prospektus dalam Rangka Penambahan Modal Perusahaan Terbuka dengan Memberikan Hak Memesan Efek Terlebih Dahulu ,/id/regulasi/Pages/POJK-tentang-Bentuk-dan-Isi-Prospektus-dalam-Rangka-Penambahan-Modal-Perusahaan-Terbuka-.aspx,POJK tentang Bentuk dan Isi Prospektus dalam Rangka Penambahan Modal Perusahaan Terbuka dengan Memberikan Hak Memesan Efek Terlebih Dahulu,33/POJK.04/2015,Pasar Modal,"Pasar Modal Syariah, Bursa Efek, Perusahaan Efek, Wakil Perusahaan Efek, Emiten dan Perusahaan Publik",Peraturan OJK,2015,Success
POJK tentang Penambahan Modal Perusahaan Terbuka dengan Memberikan Hak Memesan Efek Terlebih Dahulu ,/id/regulasi/Pages/POJK-tentang-Penambahan-Modal-Perusahaan-Terbuka-dengan-Memberikan-Hak-Memesan-Efek-Terlebih-Dahulu-.aspx,POJK tentang Keterbukaan Atas Informasi atau Fakta Material oleh Emiten atau Perusahaan Publik,32/POJK.04/2015,Pasar Modal,"Pasar Modal Syariah, Bursa Efek, Perusahaan Efek, Wakil Perusahaan Efek, Emiten dan Perusahaan Publik",Peraturan OJK,2015,Success
POJK tentang Keterbukaan Atas Informasi atau Fakta Material oleh Emiten atau Perusahaan Publik,/id/regulasi/Pages/POJK-tentang-Keterbukaan-Atas-Informasi-atau-Fakta-Material-oleh-Emiten-atau-Perusahaan-Publik.aspx,POJK tentang Keterbukaan Atas Informasi atau Fakta Material oleh Emiten atau Perusahaan Publik,31/POJK.04/2015,Pasar Modal,"Pasar Modal Syariah, Bursa Efek, Perusahaan Efek, Wakil Perusahaan Efek, Emiten dan Perusahaan Publik, Dokumen Publik dan Laporan",Peraturan OJK,2015,Success
POJK tentang Laporan Realisasi Penggunaan Dana Hasil Penawaran Umum,/id/regulasi/Pages/POJK-tentang-Laporan-Realisasi-Penggunaan-Dana-Hasil-Penawaran-Umum.aspx,POJK tentang Laporan Realisasi Penggunaan Dana Hasil Penawaran Umum,30/POJK.04/2015,Pasar Modal,"Pasar Modal Syariah, Bursa Efek, Lembaga Kliring dan Penjaminan, Lembaga Penyimpanan dan Penyelesaian, Reksa Dana, Perusahaan Efek, Wakil Perusahaan Efek, Agen Penjual Reksadana, Lembaga Penunjang Pasar Modal",Peraturan OJK,2015,Success
POJK tentang Emiten atau Perusahaan Publik yang Dikecualikan dari Kewajiban Pelaporan dan Pengumuman ,/id/regulasi/Pages/POJK-tentang-Emiten-atau-Perusahaan-Publik-yang-Dikecualikan-dari-Kewajiban-Pelaporan-dan-Pengumuman-.aspx,POJK tentang Emiten atau Perusahaan Publik yang Dikecualikan dari Kewajiban Pelaporan dan Pengumuman,29/POJK.04/2015,Pasar Modal,"Pasar Modal Syariah, Bursa Efek, Lembaga Kliring dan Penjaminan, Lembaga Penyimpanan dan Penyelesaian, Reksa Dana, Perusahaan Efek, Wakil Perusahaan Efek, Agen Penjual Reksadana, Lembaga Penunjang Pasar Modal",Peraturan OJK,2015,Success
Perhitungan Aset Tertimbang Menurut Risiko untuk Risiko Kredit dengan Menggunakan Pendekatan Standar bagi Bank Umum Syariah,/id/regulasi/Pages/Perhitungan-Aset-Tertimbang-Menurut-Risiko-untuk-Risiko-Kredit-dengan-Menggunakan-Pendekatan-Standar-bagi-Bank-Umum-Syariah.aspx,​Surat Edaran Otoritas Jasa Keuangan Nomor 34/SEOJK.03/2015 Tentang Perhitungan Aset Tertimbang Menurut Risiko Untuk Risiko Kredit Dengan Menggunakan Pendekatan Standar Bagi Bank Umum Syariah.,34/SEOJK.03/2015,Perbankan,"Bank Umum, Perbankan Syariah, Peraturan Lainnya",Surat Edaran OJK,2015,Success
SEOJK tentang Perhitungan Aset Tertimbang Menurut Risiko untuk Risiko Pasar dengan Menggunakan Metode Standar bagi Bank Umum Syariah,/id/regulasi/Pages/SEOJK-tentang-Perhitungan-ATMR-untuk-Risiko-Pasar-dengan-Menggunakan-Metode-Standar-bagi-Bank-Umum-Syariah.aspx,SEOJK tentang Perhitungan Aset Tertimbang Menurut Risiko untuk Risiko Pasar dengan Menggunakan Metode Standar bagi Bank Umum Syariah,35/SEOJK.03/2015,"Perbankan, Syariah","Bank Umum, BPR, Perbankan Syariah",Surat Edaran OJK,2015,Success
POJK tentang Penyidikan Tindak Pidana di Sektor Jasa Keuangan Tahun 2015,/id/regulasi/Pages/POJK-tentang-Penyidikan-Tindak-Pidana-di-Sektor-Jasa-Keuangan-Tahun-2015.aspx,POJK tentang Penyidikan Tindak Pidana di Sektor Jasa Keuangan Tahun 2015,22 /POJK.01/2015,OJK,Peraturan Lainnya,Peraturan OJK,2015,Success
"POJK tentang Pembubaran, Likuidasi, dan Kepailitan Perusahaan Asuransi, Perusahaan Asuransi Syariah, Perusahaan Reasuransi, dan Perusahaan Reasuransi Syariah ","/id/regulasi/Pages/POJK-tentang-Pembubaran,-Likuidasi,-dan-Kepailitan-Perusahaan-Asuransi,-Asuransi-Syariah,-Reasuransi,-Reasuransi-Syariah-.aspx","POJK tentang Pembubaran, Likuidasi, dan Kepailitan Perusahaan Asuransi, Asuransi Syariah, Reasuransi, Reasuransi Syariah",28/POJK.05/2015,IKNB,"Asuransi, Dana Pensiun, Lembaga Pembiayaan, Lembaga Jasa Keuangan Khusus, Lembaga Keuangan Mikro",Peraturan OJK,2015,Success
POJK tentang Kegiatan Usaha Bank Berupa Penitipan dengan Pengelolaan (Trust),/id/regulasi/Pages/POJK-tentang-Kegiatan-Usaha-Bank-Berupa-Penitipan-dengan-Pengelolaan-(Trust).aspx,POJK tentang Kegiatan Usaha Bank Berupa Penitipan dengan Pengelolaan (Trust),27/POJK.03/2015,Perbankan,"Bank Umum, BPR, Perbankan Syariah",Peraturan OJK,2015,Success
POJK tentang Kewajiban Penyediaan Modal Minimum Terintegrasi Bagi Konglomerasi Keuangan,/id/regulasi/Pages/POJK-tentang-Kewajiban-Penyediaan-Modal-Minimum-Terintegrasi-Bagi-Konglomerasi-Keuangan.aspx,POJK tentang Kewajiban Penyediaan Modal Minimum Terintegrasi Bagi Konglomerasi Keuangan,26/POJK.03/2015,Perbankan,"Bank Umum, BPR, Perbankan Syariah",Peraturan OJK,2015,Success
POJK tentang Penyampaian Informasi Nasabah Asing Terkait Perpajakan kepada Negara Mitra atau Yurisdiksi Mitra,/id/regulasi/Pages/POJK-tentang-Penyampaian-Informasi-Nasabah-Asing-Terkait-Perpajakan-kepada-Negara-Mitra-atau-Yurisdiksi-Mitra.aspx,POJK tentang Penyampaian Informasi Nasabah Asing Terkait Perpajakan kepada Negara Mitra atau Yurisdiksi Mitra,25/POJK.03/2015,Perbankan,"Bank Umum, BPR, Perbankan Syariah",Peraturan OJK,2015,Success
POJK tentang Produk dan Aktivitas Bank Syariah dan Unit Usaha Syariah,/id/regulasi/Pages/POJK-tentang-Produk-dan-Aktivitas-Bank-Syariah-dan-Unit-Usaha-Syariah.aspx,POJK tentang Produk dan Aktivitas Bank Syariah dan Unit Usaha Syariah,24/POJK.03/2015,Perbankan,Perbankan Syariah,Peraturan OJK,2015,Success
Produk dan Aktivitas Bank Syariah dan Unit Usaha Syariah,/id/regulasi/Pages/Produk-dan-Aktivitas-Bank-Syariah-dan-Unit-Usaha-Syariah.aspx,​Peraturan Otoritas Jasa Keuangan Nomor 24/POJK.03/2015 Tentang Produk Dan Aktivitas Bank Syariah Dan Unit Usaha Syariah.,24/POJK.03/2015,Perbankan,Perbankan Syariah,Peraturan OJK,2015,Success
POJK tentang Produk Asuransi dan Pemasaran Produk Asuransi,/id/regulasi/Pages/POJK-tentang-Produk-Asuransi-dan-Pemasaran-Produk-Asuransi.aspx,POJK tentang Produk Asuransi dan Pemasaran Produk Asuransi,23/POJK.05/2015,IKNB,Asuransi,Peraturan OJK,2015,Success
Penerapan Pedoman Tata Kelola Perusahaan Terbuka,/id/regulasi/Pages/Penerapan-Pedoman-Tata-Kelola-Perusahaan-Terbuka.aspx,​Peraturan Otoritas Jasa Keuangan Nomor 21/POJK.04/2015 Tentang Penerapan Pedoman Tata Kelola Perusahaan Terbuka.,21/POJK.04/2014,Pasar Modal,Emiten dan Perusahaan Publik,Peraturan OJK,2015,Success
SEOJK tentang Pedoman Tata Kelola Perusahaan Terbuka,/id/regulasi/Pages/SEOJK-tentang-Pedoman-Tata-Kelola-Perusahaan-Terbuka.aspx,SEOJK tentang Pedoman Tata Kelola Perusahaan Terbuka,32 /SEOJK.04/2015,Pasar Modal,Emiten dan Perusahaan Publik,Surat Edaran OJK,2015,Success
POJK tentang Penerapan Pedoman Tata Kelola Perusahaan Terbuka,/id/regulasi/Pages/POJK-tentang-Penerapan-Pedoman-Tata-Kelola-Perusahaan-Terbuka.aspx,POJK tentang Penerapan Pedoman Tata Kelola Perusahaan Terbuka,21/POJK.04/2015,Pasar Modal,"Sanksi, Peraturan Lainnya",Peraturan OJK,2015,Success
"SEOJK tentang Batas Retensi Sendiri, Besar Dukungan Reasuransi, dan Laporan Program Reasuransi atau Retrosesi","/id/regulasi/Pages/SEOJK-tentang-Batas-Ratensi-Sendiri,-Besar-Dukungan-Reasuransi,-dan-Laporan-Program-Reasuransi-atau-Retrosesi.aspx","SEOJK tentang Batas Ratensi Sendiri, Besar Dukungan Reasuransi, dan Laporan Program Reasuransi atau Retrosesi",31/SEOJK.05/2015,IKNB,Asuransi,Surat Edaran OJK,2015,Success
POJK tentang Penerapan Manajemen Risiko bagi Bank Perkreditan Rakyat,/id/regulasi/Pages/POJK-tentang-Penerapan-Manajemen-Risiko-bagi-Bank-Perkreditan-Rakyat.aspx,POJK tentang Penerapan Manajemen Risiko bagi Bank Perkreditan Rakyat,13/POJK.03/2015,Perbankan,BPR,Peraturan OJK,2015,Success
Penerbitan dan Persyaratan Reksa Dana Syariah,/id/regulasi/Pages/Penerbitan-dan-Persyaratan-Reksa-Dana-Syariah-2015.aspx,​Peraturan Otoritas Jasa Keuangan Nomor 19 /Pojk.04/2015 Tentang Penerbitan Dan Persyaratan Reksa Dana Syariah.,19/POJK.04/2015,Pasar Modal,"Pasar Modal Syariah, Reksa Dana",Peraturan OJK,2015,Success
Penerbitan dan Persyaratan Efek Beragun Aset Syariah,/id/regulasi/Pages/Penerbitan-dan-Persyaratan-Efek-Beragun-Aset-Syariah.aspx,​Peraturan Otoritas Jasa Keuangan Nomor 20/POJK.04/2015 Tentang Penerbitan Dan Persyaratan Efek Beragun Aset Syariah.,20/POJK.04/2015,Pasar Modal,Pasar Modal Syariah,Peraturan OJK,2015,Success
Ahli Syariah Pasar Modal,/id/regulasi/Pages/Ahli-Syariah-Pasar-Modal-2015.aspx,​Peraturan Otoritas Jasa Keuangan Nomor 16/POJK.04/2015 Tentang Ahli Syariah Pasar Modal.,16/POJK.04/2015,Pasar Modal,Pasar Modal Syariah,Peraturan OJK,2015,Success
Penerbitan dan Persyaratan Efek Syariah Berupa Saham oleh Emiten Syariah atau Perusahaan Publik Syariah,/id/regulasi/Pages/Penerbitan-dan-Persyaratan-Efek-Syariah-Berupa-Saham-oleh-Emiten-Syariah-atau-Perusahaan-Publik-Syariah.aspx,​Peraturan Otoritas Jasa Keuangan Nomor 17/POJK.04/2015 Tentang Penerbitan Dan Persyaratan Efek Syariah Berupa Saham Oleh Emiten Syariah Atau Perusahaan Publik Syariah.,17/POJK.04/2015,Pasar Modal,"Pasar Modal Syariah, Emiten dan Perusahaan Publik",Peraturan OJK,2015,Success
Penerbitan dan Persyaratan Sukuk,/id/regulasi/Pages/Penerbitan-dan-Persyaratan-Sukuk.aspx,​Peraturan Otoritas Jasa Keuangan Nomor 18/POJK.04/2015 Tentang Penerbitan Dan Persyaratan Sukuk.,18/POJK.04/2015,Pasar Modal,Pasar Modal Syariah,Peraturan OJK,2015,Success
Penerapan Prinsip Syariah di Pasar Modal,/id/regulasi/Pages/Penerapan-Prinsip-Syariah-di-Pasar-Modal.aspx,​Peraturan Otoritas Jasa Keuangan Nomor 15/POJK.04/2015 Tentang Penerapan Prinsip Syariah Di Pasar Modal.,15/POJK.04/2015,Pasar Modal,Pasar Modal Syariah,Peraturan OJK,2015,Success
POJK tentang Penerbitan dan Persyaratan Efek Beragun Aset Syariah,/id/regulasi/Pages/POJK-tentang-Penerbitan-dan-Persyaratan-Efek-Beragun-Aset-Syariah.aspx,POJK tentang Penerbitan dan Persyaratan Efek Beragun Aset Syariah,20/POJK.04/2015,Pasar Modal,Pasar Modal Syariah,Peraturan OJK,2015,Success
POJK tentang Penerbitan dan Persyaratan Reksa Dana Syariah,/id/regulasi/Pages/POJK-tentang-Penerbitan-dan-Persyaratan-Reksa-Dana-Syariah.aspx,POJK tentang Penerbitan dan Persyaratan Reksa Dana Syariah,19/POJK.04/2015,Pasar Modal,"Pasar Modal Syariah, Bursa Efek, Reksa Dana, Perusahaan Efek, Wakil Perusahaan Efek",Peraturan OJK,2015,Success
POJK tentang Penerbitan dan Persyaratan Sukuk,/id/regulasi/Pages/POJK-tentang-Penerbitan-dan-Persyaratan-Sukuk.aspx,POJK tentang Penerbitan dan Persyaratan Sukuk,18/POJK.04/2015,Pasar Modal,Pasar Modal Syariah,Peraturan OJK,2015,Success
POJK tentang Penerbitan dan Persyaratan Efek Syariah berupa Saham oleh Emiten Syariah atau Perusahaan Publik Syariah,/id/regulasi/Pages/POJK-tentang-Penerbitan-dan-Persyaratan-Efek-Syariah-berupa-Saham-oleh-Emiten-Syariah-atau-Perusahaan-Publik-Syariah.aspx,POJK tentang Penerbitan dan Persyaratan Efek Syariah berupa Saham oleh Emiten Syariah atau Perusahaan Publik Syariah,17/POJK.04/2015,Pasar Modal,"Pasar Modal Syariah, Emiten dan Perusahaan Publik",Peraturan OJK,2015,Success
POJK tentang Ahli Syariah Pasar Modal,/id/regulasi/Pages/POJK-tentang-Ahli-Syariah-Pasar-Modal.aspx,POJK tentang Ahli Syariah Pasar Modal,16/POJK.04/2015,Perbankan,Pasar Modal Syariah,Peraturan OJK,2015,Success
POJK tentang Penerapan Prinsip Syariah di Pasar Modal,/id/regulasi/Pages/POJK-tentang-Penerapan-Prinsip-Syariah-di-Pasar-Modal.aspx,POJK tentang Penerapan Prinsip Syariah di Pasar Modal,15/POJK.04/2015,Pasar Modal,Pasar Modal Syariah,Peraturan OJK,2015,Success
POJK tentang Retensi Sendiri dan Dukungan Reasuransi dalam Negeri,/id/regulasi/Pages/POJK-tentang-Retensi-Sendiri-dan-Dukungan-Reasuransi-dalam-Negeri.aspx,POJK tentang Retensi Sendiri dan Dukungan Reasuransi dalam Negeri,14/POJK.05/2015,IKNB,Asuransi,Peraturan OJK,2015,Success
Iuran Keanggotan Bank Kustodian untuk Dana Perlindungan Pemodal,/id/regulasi/Pages/Iuran-Keanggotan-Bank-Kustodian-untuk-Dana-Perlindungan-Pemodal.aspx,​Surat Edaran Otoritas Jasa Keuangan Nomor 30/SEOJK.04/2015 Tentang Iuran Keanggotan Bank Kustodian untuk Dana Perlindungan Pemodal.,30/SEOJK.04/2015,Perbankan,"Bank Umum, Peraturan Lainnya",Surat Edaran OJK,2015,Success
SEOJK tentang Iuran Keanggotaan Bank Kustodian untuk Dana Perlindungan Sosial,/id/regulasi/Pages/SEOJK-tentang-Iuran-Keanggotaan-Bank-Kustodian-untuk-Dana-Perlindungan-Sosial.aspx,SEOJK tentang Iuran Keanggotaan Bank Kustodian untuk Dana Perlindungan Sosial,30/SEOJK.04/2015,Pasar Modal,"Bursa Efek, Lembaga Penyimpanan dan Penyelesaian, Reksa Dana, Perusahaan Efek, Wakil Perusahaan Efek, Agen Penjual Reksadana, Lembaga Penunjang Pasar Modal",Surat Edaran OJK,2015,Success
SEOJK tentang Laporan Keuangan Lembaga Keuangan Mikro,/id/regulasi/Pages/SEOJK-tentang-Laporan-Keuangan-Lembaga-Keuangan-Mikro.aspx,SEOJK tentang Laporan Keuangan Lembaga Keuangan Mikro,29 /SEOJK.05/2015,IKNB,Lembaga Keuangan Mikro,Surat Edaran OJK,2015,Success
SEOJK tentang Pelaporan Data Risiko Asuransi,/id/regulasi/Pages/SEOJK-tentang-Pelaporan-Data-Risiko-Asuransi.aspx,SEOJK tentang Pelaporan Data Risiko Asuransi,28 /SEOJK.05/2015,IKNB,Asuransi,Surat Edaran OJK,2015,Success
